Profile Name,Date,Data,Star
Absalom,"2 months ago | Jul 4, 2024 5:22 AM","Yes this, Sony Bravia 65"" XR-X90L is Every bit as good as the expert reviews say and by the ones that have Professionally tested this Heavyweight midrange 4K TV but not heavy in price. I won't get into no more than what has already been stated in the comments that other owners who have already stated. This wasn't a compromised purchase for me, I was originally going to purchase the Sony 65"" A80L or their 65"" X93L. After 3 + months of diligent research comparing all the tradeoffs between the three models I came to the conclusion, anything more is just diminishing returns. I used, (Gene DellaSala's) article (Audioholics) of Professional recommended settings to dial in my Sony Bravia XR-X90L. 
Yes I do recommend this Sony model it punches above its  class. BestBuy's service made my Purchase even easier with their holiday sales they're running.",Rated 5 out of 5 stars
Markovski,"2 months ago | Jul 1, 2024 11:15 PM",Great looking tv. I got an open box and for the quality and price I think I got a great deal,Rated 5 out of 5 stars
MickeyP,"2 months ago | Jul 1, 2024 8:08 AM","Great purchase and the sales person Ava Christensen was the most helpful associate I have had the pleasure of working with. She was very knowledgeable, and the main reason we made the purchase.",Rated 5 out of 5 stars
Vasiliy,"2 months ago | Jun 30, 2024 11:26 AM","Amazing TV, amazing balance, money/value
Perfect for Movies and Gaming",Rated 5 out of 5 stars
ShaneS,"2 months ago | Jun 30, 2024 8:49 AM",Great TV…but I would say the google software isn’t as intuitive as apple tv but again apple tv doesn’t go higher than 4k like this TV does all in all great TV,Rated 5 out of 5 stars
SonyaT,"2 months ago | Jun 30, 2024 12:28 AM",I am loving my new television!  The picture and sound quality are excellent.,Rated 5 out of 5 stars
LisalB,"2 months ago | Jun 28, 2024 8:27 PM",Great tv! Sharp picture and beautiful color! We love it!,Rated 5 out of 5 stars
DavidT,"2 months ago | Jun 28, 2024 4:13 PM",Great product with extra bright display and beautiful definition!,Rated 5 out of 5 stars
GabrielaT,"2 months ago | Jun 28, 2024 3:33 PM","Great TV, easy set up, no complaints! Picture is great, bought a sound bar and sub-woofer to complement the sound.",Rated 5 out of 5 stars
BrandiB,"2 months ago | Jun 28, 2024 12:35 PM",Awesome TV!! Picture quality is amazing!!! Would recommend.,Rated 5 out of 5 stars
AlejandrocesarM,"2 months ago | Jun 22, 2024 8:39 AM","The **Sony - 65"" Class BRAVIA XR X90L LED 4K UHD Smart Google TV** is an outstanding television that offers a premium viewing experience. The 4K UHD resolution, combined with BRAVIA XR technology, delivers incredibly sharp and vibrant visuals. The colors are rich, and the contrast is impressive, making both movies and regular TV shows look phenomenal.

The integration of Google TV is seamless, providing easy access to a wide array of apps and streaming services. The user interface is intuitive, and the voice search feature is a convenient addition. The smart home integration with Google Assistant enhances the overall user experience, allowing for easy control of other smart devices in your home.

Additionally, the LED display offers bright and dynamic visuals, which are especially noticeable in brightly lit rooms. The sound quality is also quite good, with clear audio and good bass response.

Overall, the Sony BRAVIA XR X90L is a top-tier television that combines excellent picture quality, smart features, and user-friendly design. It's a great choice for anyone looking to upgrade their home entertainment setup.",Rated 5 out of 5 stars
Bamboocuttingboard,"2 months ago | Jun 21, 2024 4:43 PM","TV has a great picture. The remote, however, is not very user-friendly.",Rated 4 out of 5 stars
Anonymous,"2 months ago | Jun 21, 2024 4:23 PM",Good quality sound easy setup we really injoy this product,Rated 5 out of 5 stars
JeanR,"2 months ago | Jun 20, 2024 4:47 PM","Love the UI, sleek design and overall picture is would.",Rated 5 out of 5 stars
JeffreyF,"2 months ago | Jun 19, 2024 5:59 PM",Great TV and great price. Open box description was accurate,Rated 5 out of 5 stars
MelissaP,"2 months ago | Jun 19, 2024 4:19 PM",Tv has great picture and clarity and sound is great even without a sound bar and has many great features.,Rated 5 out of 5 stars
