Profile Name,Date,Data,Star
AnnaB,"6 months ago | Feb 21, 2024 4:22 PM",I love this unit. It is definitely worth getting this one versus the smallest one. I love the camera feature and the ability to have video chats. The upgrade is definitely worth it! I forgot to mention that it is a great monitor for an indoor camera of any room.,Rated 5 out of 5 stars
KarenH,"6 months ago | Feb 18, 2024 5:36 PM","Love the google nest.  My husband had the app on his phone and when he couldn't reach me by cell phone, he went to the app and saw me in the kitchen, then said over google nest, ""can you please answer your phone? ""  I went to find it and then we chatted.  I was glad he had another way to reach me.",Rated 5 out of 5 stars
Terrible,"6 months ago | Feb 17, 2024 7:19 AM","Actually purchased this one as a gift. We have 2. This version and the newest version and they both work together for setting timers and such. You can voice call, listen to music, play trivia games with the family etc",Rated 5 out of 5 stars
BessieE,"6 months ago | Feb 16, 2024 10:52 PM",I love my google home. It supports home automation and the speakers are great!,Rated 5 out of 5 stars
BestBuyReviews,"6 months ago | Feb 16, 2024 8:34 PM",Great product. I would recommend this product anyone.,Rated 5 out of 5 stars
Anonymous,"6 months ago | Feb 16, 2024 5:57 PM",I really like it. I would recommend it. Easy to use.,Rated 5 out of 5 stars
NatalieN,"6 months ago | Feb 16, 2024 4:23 PM","Have had this for a year now,  and absolutely love it.",Rated 5 out of 5 stars
tstech,"6 months ago | Feb 16, 2024 3:58 PM",It’s nice and I’m glad we bought it. The main issue is there is no option to simultaneously display multiple cameras on the screen. You can o my view one camera at a time.,Rated 3 out of 5 stars
Elizabeth,"6 months ago | Feb 16, 2024 1:16 PM","Excellent products, I communicate with my relatives and I can have a lot of fun.",Rated 5 out of 5 stars
Alonzo,"6 months ago | Feb 15, 2024 11:51 PM",Google is perfect recommend to all ages from geriatrics to toddlers..user friendly for sure,Rated 5 out of 5 stars
Sassy1,"6 months ago | Feb 10, 2024 7:40 PM","Very easy to set up and I love the music, pictures, and ability to ask questions.",Rated 5 out of 5 stars
Erwink,"7 months ago | Feb 10, 2024 9:56 AM",I like the bigger screen. I do wish the clock was brighter though.,Rated 4 out of 5 stars
AdamH,"7 months ago | Feb 9, 2024 10:26 PM",Love it much better than alexa picks up your voice better,Rated 5 out of 5 stars
Anonymous,"7 months ago | Feb 9, 2024 10:14 PM","This have been great to have in the kitchen. Being able to look up recipes , watching videos etc. Just been a great item to have.",Rated 5 out of 5 stars
RiosaT,"7 months ago | Feb 9, 2024 6:47 PM",Good product i used everyday i liked but its good price too,Rated 5 out of 5 stars
user458451,"7 months ago | Feb 9, 2024 3:30 PM",So excellent and fun. What a great addition to my kitchen,Rated 5 out of 5 stars
AchillesLT2,"7 months ago | Feb 8, 2024 4:36 AM",Neet Hub Max is a great addtion to any connected smart home. Works great and provides a single control point for the entire home.,Rated 5 out of 5 stars
Steven,"7 months ago | Feb 7, 2024 7:59 AM","Works great as an alarm clock, also great for turning lights on or off and adjusting thermostat.",Rated 5 out of 5 stars
Jayaram,"7 months ago | Feb 6, 2024 10:52 AM",Great product. Just as described. I got it shipped within the specified time.,Rated 5 out of 5 stars
RoyF,"7 months ago | Feb 5, 2024 11:24 AM","Bigger screen, better speaker. Only thing k dont get is i can unlock my nest locks from here but not lock them.",Rated 5 out of 5 stars
StaceyT,"7 months ago | Feb 4, 2024 7:53 PM",I love this hub! You can do so much with it! Great purchase.,Rated 5 out of 5 stars
Elise,"7 months ago | Feb 4, 2024 9:22 AM",I use this google hub evaryday works great for what i use it for,Rated 5 out of 5 stars
Jshelton3,"7 months ago | Feb 3, 2024 9:37 PM","Great product especially the face recognition, and the sync.",Rated 5 out of 5 stars
DavidS,"7 months ago | Feb 2, 2024 4:01 PM",Very happy with this product. Does everything that it claims to do.,Rated 5 out of 5 stars
Mcam,"7 months ago | Feb 2, 2024 3:59 PM",This is my second one for a different room and loving it,Rated 5 out of 5 stars
